Index,Price_1,Price_2,Price_3,Price_4,Price_5
463,998.5,1032.2,1059.7,930.8,992.7
464,998.5,1031.2,1059.7,934.8,992.8
465,997.5,1030.2,1058.8,930.8,992.8
466,996.5,1034.3,1058.8,929.8,993.8
467,996.2,1030.4,1057.8,928.8,990.2
468,996.0,1029.4,1057.2,927.8,990.2
469,995.0,1032.6,1057.0,926.8,989.2
470,1000.0,1029.3,1061.0,925.8,988.2
471,994.9,1028.4,1057.4,924.8,987.8
472,994.9,1032.4,1056.4,923.8,991.4
473,993.9,1033.4,1055.4,922.8,992.4
474,992.9,1034.2,1058.6,921.8,988.4
475,992.8,1030.4,1055.3,920.8,987.4
476,992.5,1029.4,1059.2,919.8,987.4
477,992.2,1028.6,1055.2,918.8,991.2
478,992.2,1028.6,1054.2,917.8,991.2
479,991.2,1027.6,1054.0,916.8,991.8
480,990.6,1026.6,1053.3,920.8,991.8
481,994.6,1029.7,1052.3,921.8,988.6
482,995.6,1029.7,1055.4,921.8,987.6
483,996.5,1025.9,1055.4,922.8,987.3
484,992.5,1029.4,1056.4,923.8,990.5
485,993.2,1029.4,1057.4,924.8,987.4
486,997.2,1030.4,1053.8,921.1,986.4
487,998.2,1031.4,1057.8,921.1,989.5
488,999.2,1032.4,1053.8,920.6,990.5
489,1000.2,1033.4,1057.0,920.4,991.5
490,1001.2,1034.4,1058.0,920.4,985.5
491,1001.2,1031.1,1058.0,919.4,986.7
492,1001.2,1030.1,1059.0,918.4,986.5
493,997.2,1035.1,1059.2,918.4,990.5
494,997.6,1031.0,1060.1,917.4,991.5
495,997.5,1034.6,1061.1,916.4,987.7
496,996.5,1035.6,1057.3,922.4,987.5
497,1000.1,1031.7,1061.3,923.4,987.5
498,996.2,1035.0,1060.8,917.4,986.5
499,999.8,1036.0,1056.8,916.4,985.5
500,995.8,1032.2,1056.0,915.4,989.1
501,994.8,1031.2,1060.0,914.8,989.1
502,999.0,1034.8,1056.3,918.8,990.1
503,1000.0,1034.8,1059.8,918.7,991.1
504,1000.2,1035.8,1059.8,919.7,992.1
505,1001.2,1036.8,1060.8,914.7,988.6
506,1001.2,1037.2,1061.8,919.4,988.6
507,997.8,1038.2,1062.8,915.4,992.1
508,996.8,1039.2,1063.8,915.4,992.1
509,996.7,1035.3,1064.8,919.4,993.1
510,996.7,1035.3,1065.8,915.4,994.1
511,995.9,1034.3,1066.8,914.4,995.1
512,999.4,1033.6,1062.8,914.2,995.5
513,1000.4,1033.4,1062.8,913.2,991.5
514,995.4,1037.1,1062.7,912.2,990.9
515,994.4,1033.2,1061.7,915.4,990.8
516,993.4,1033.2,1060.7,915.8,989.8
517,998.5,1032.2,1059.7,911.8,989.4
518,999.2,1031.2,1062.8,910.8,989.4
519,995.4,1030.2,1059.3,915.1,988.4
520,994.4,1034.1,1058.3,911.2,987.7
521,999.4,1030.5,1062.1,915.2,986.7
522,1000.4,1033.6,1058.1,916.2,991.7
523,994.6,1034.6,1062.0,917.2,992.7
524,994.6,1031.5,1063.0,918.2,992.6
525,993.6,1030.5,1058.0,914.2,989.4
526,997.4,1029.5,1059.0,914.2,992.8
527,997.4,1028.5,1063.0,913.2,993.8
528,994.3,1027.5,1063.1,912.2,989.8
529,993.3,1027.0,1059.1,911.2,988.8
530,998.3,1026.5,1063.0,914.9,992.0
531,998.2,1025.6,1063.2,914.9,993.0
532,994.2,1025.5,1064.2,915.9,993.0
533,998.2,1029.5,1065.2,916.9,994.0
534,994.3,1025.5,1059.2,913.0,994.2
535,998.0,1028.6,1065.0,917.0,994.2
536,994.2,1029.6,1066.0,918.0,995.2
537,993.6,1030.6,1061.0,918.0,996.2
538,992.6,1026.8,1062.3,919.0,997.2
539,991.8,1026.4,1065.8,920.0,998.2
540,991.6,1030.4,1061.8,921.0,994.8
541,991.6,1031.4,1060.8,922.0,993.8
542,995.0,1031.2,1059.8,923.0,997.0
543,991.0,1031.6,1060.4,924.0,997.4
544,990.0,1032.4,1064.4,925.0,998.4
545,993.2,1033.4,1063.8,924.6,998.4
546,989.2,1028.4,1064.8,920.6,999.4
547,988.2,1033.8,1065.4,919.6,996.2
548,988.0,1034.8,1065.8,918.9,995.2
549,988.0,1035.8,1066.8,918.9,999.2
550,987.0,1036.8,1067.2,917.9,1000.2
551,986.0,1033.6,1063.3,916.9,1001.2
552,989.8,1037.5,1063.2,916.2,1002.2
553,985.8,1037.5,1063.0,915.2,1003.2
554,984.8,1038.5,1062.8,914.2,1004.2
555,988.4,1039.2,1062.8,913.2,1005.2
